lat,long,aptos_por_local,local_de_votacao,zona_eleitoral_nro,bairro,endereco,secoes_eleitorais,zona_eleitoral_nome,secao,PT,PMDB,PSDB,PSD
-46.766048,-23.68091,7066.0,EE. PROFESSOR LUÍS MAGALHÃES DE ARAÚJO,372.0,JARDIM DAS FLORES,"ESTRADA DO M'BOI MIRIM, 3583, São Paulo",Da 79ª à 96ª.,PIRAPORINHA,1575.0,1193.0,241.0,518.0,259.0
-46.776848,-23.680599,6049.0,EE. PROF. JOÃO SILVA,20.0,JARDIM SORAIA,"RUA ABÍLIO CÉSAR, 243, São Paulo",Da 69ª à 84ª; 387ª; 392ª;,VALO VELHO,2003.0,996.0,272.0,462.0,177.0
-46.63443,-23.68053,5358.0,EE. LEONOR QUADROS,320.0,JARDIM MIRIAM,"RUA BALTAZAR GOMES DE ALARCÃO, S/N, São Paulo",Da 420ª à 433ª.,JABAQUARA,5971.0,1020.0,182.0,372.0,239.0
-46.751919,-23.680491,7388.0,EE. JARDIM ESPERANÇA,372.0,VL STA MARGARIDA,"RUA CATALDO PARRILHA,215/A, São Paulo",462ª; 523ª; 549ª; 580ª; 630ª;,PIRAPORINHA,2744.0,173.0,52.0,69.0,50.0
-46.751919,-23.680491,7388.0,EE. PROFESSORA MARIA PECCIOLI GIANNASI,372.0,JARDIM BOA ESPERANCA,"RUA CATALDO PARRILHA, 215, São Paulo",Da 32ª à 35ª; 198ª; Da 215ª à 216ª; 226ª; 243ª; 257ª; 268ª; 279ª; 292ª; 312ª; 411ª; 436ª;,PIRAPORINHA,3487.0,796.0,160.0,325.0,185.0
-46.77346,-23.680117000000006,6552.0,EE. PROF. HUMBERTO ALFREDO PUCCA,20.0,JARDIM FRATERNIDADE,"RUA DA MANDIRA,120, São Paulo",Da 33ª à 52ª.,VALO VELHO,850.0,1157.0,332.0,630.0,242.0
-46.794739,-23.679899,4413.0,EMEF. TEREZINHA MOTA FIGUEIREDO,20.0,CONJUNTO HABITACIONAL VALO VELHO,"RUA CANTORIAS PAULISTAS, 20, São Paulo",Da 267ª à 280ª.,VALO VELHO,3829.0,1095.0,96.0,267.0,125.0
-46.635071,-23.67989,4675.0,EE. PROFESSORA YOLANDA BERNARDINI ROBERT,320.0,JARDIM MIRIAM,"RUA FRANCISCO DE ALVARENGA, S/N, São Paulo",Da 434ª à 446ª.,JABAQUARA,5720.0,946.0,162.0,285.0,176.0
-46.755138,-23.679701,4347.0,EE. PROFESSORA EULÁLIA SILVA,372.0,VL STA MARGARIDA,"RUA AMARO ANTONIO DE ARAUJO, 337, São Paulo",Da 20ª à 31ª.,PIRAPORINHA,306.0,714.0,179.0,290.0,148.0
-46.636494,-23.679638,955.0,EMEI AYRTON SENNA DA SILVA,320.0,JARDIM MIRIAM,"RUA SEBASTIÃO AFONSO, 271, São Paulo",548ª; 551ª; Da 553ª à 554ª; Da 560ª à 561ª;,JABAQUARA,3327.0,168.0,27.0,51.0,32.0
-46.63649,-23.679634,3996.0,EE. PADRE ANTÃO,252.0,PENHA DE FRANÇA,"RUA SANTO AFONSO, 273, São Paulo",Da 31ª à 38ª; 241ª; 286ª; 305ª;,PENHA DE FRANÇA,1108.0,286.0,169.0,451.0,160.0
-46.748543,-23.679429000000006,3885.0,EMEF MAURO FACCIO GONCALVES ZACARIA,372.0,JARDIM GUARUJA,"RUA ARTUR JOSE IGNACIO,30, São Paulo",203ª; 214ª; 233ª; 242ª; 250ª; 263ª; 274ª; 284ª; 294ª; 304ª;,PIRAPORINHA,2561.0,439.0,112.0,262.0,129.0
-46.647053,-23.679399,7057.0,EE. PROF. JOANNA ABRAHAO,351.0,AMERICANÓPOLIS,"RUA COMENDADOR ARTUR CAPODAGLIO, 99, São Paulo",Da 342ª à 354ª; 373ª; 400ª; 704ª; 710ª; 717ª;,CIDADE ADEMAR,7428.0,1332.0,258.0,370.0,338.0
-46.786709,-23.67873,2031.0,EMEF. CAMPO LIMPO 2,20.0,JARDIM COMERCIAL,"RUA ALGARD, S/N, São Paulo",Da 338ª à 341ª; 356ª; 367ª; 384ª; 394ª;,VALO VELHO,2859.0,396.0,81.0,118.0,35.0
