aptos_por_local,bairro,endereco,lat,local_de_votacao,long,secoes_eleitorais,zona_eleitoral_nome,zona_eleitoral_nro
4092,PARQUE NOVO SANTO AMARO,"RUA CERDEIRA, 07, São Paulo",-23.69906,EMEF. ANTONIO ESTANISLAU DO AMARAL,-46.783112,Da 291ª à 301ª; 346ª;,VALO VELHO,20
5418,JARDIM COMERCIAL,"RUA COSTA NOVA DO PRADO, 108, São Paulo",-23.789295,EMPG. EUCLIDES DA CUNHA,-46.683613,Da 53ª à 68ª.,VALO VELHO,20
6552,JARDIM FRATERNIDADE,"RUA DA MANDIRA,120, São Paulo",-23.680117,EE. PROF. HUMBERTO ALFREDO PUCCA,-46.77346,Da 33ª à 52ª.,VALO VELHO,20
5733,JARDIM COMERCIAL,"RUA FALKENBERG, 240, São Paulo",-23.676561,EE. PROFª MAUD SÁ DE MIRANDA MONTEIRO,-46.785225,Da 250ª à 266ª.,VALO VELHO,20
6237,CHACARA SANTA MARIA,"RUA FEITIÇO DA VILA, 399, São Paulo",-23.686291,CEU. FEITIÇO DA VILA,-46.793831,Da 322ª à 330ª; 345ª; 348ª; 354ª; 358ª; 362ª; 368ª; 371ª; 375ª; 381ª; 385ª; 389ª;,VALO VELHO,20
5635,CHACARA SANTA MARIA,"RUA FEITIÇO DA VILA, 915, São Paulo",-23.68683,EMEF. PROF. JORGE AMERICANO,-46.799759,Da 222ª à 238ª.,VALO VELHO,20
5686,JARDIM SORAIA,"RUA GAGLIANO NETO, 506, São Paulo",-23.68121,EE. DONA MARIA DO CARMO CAMPOS FERREIRA,-46.776711,Da 172ª à 187ª.,VALO VELHO,20
4548,CONJUNTO RESIDENCIAL FAZZIONI,"RUA JOÃO ANDRE LEYSE, 100, São Paulo",-23.674297,EE. YOSHIO NINOMIYA,-46.776169,Da 1ª à 13ª.,VALO VELHO,20
4985,PARQUE NOVO SANTO AMARO,"RUA JOSÉ ALVES DA SILVA, 870, São Paulo",-23.697666,EE. JOSÉ PORPHYRIO DA PAZ,-46.784641,Da 281ª à 290ª; 355ª; 361ª; 369ª; 376ª; 382ª; 391ª;,VALO VELHO,20
4713,CHACARA SANTA MARIA,"RUA LUAR DO SERTÃO, 160, São Paulo",-23.693062,EE. JOITI HIRATA,-46.797611,Da 188ª à 201ª.,VALO VELHO,20
5983,PARQUE FERNANDA,"RUA PROF. GASTÃO RAMOS, 3, São Paulo",-23.505289,EE. PROFª BEATRIZ DE QUADROS LEME,-46.438568,Da 85ª à 102ª.,VALO VELHO,20
6317,JARDIM SÃO BENTO NOVO,"RUA ROCHA MEDRANO, S/N, São Paulo",-23.68277,EE. PROF. FRANCISCO ANTONIO MARTINS JÚNIOR,-46.780731,Da 124ª à 140ª.,VALO VELHO,20
2719,JARDIM AMALIA,"RUA SERRA DOS DOIS IRMÃOS, 212, São Paulo",-23.665701,EE. JARDIM IRENE III,-46.788139,Da 214ª à 221ª.,VALO VELHO,20
3520,COHAB ADVENTISTA,"RUA SOLIDARIEDADE, 200, São Paulo",-23.668604,EMEF. PROF. RICARDO VITIELLO,-46.776878,Da 239ª à 249ª.,VALO VELHO,20
1708,JARDIM AMALIA,"RUA VITORIANO PALHARES, S/N, São Paulo",-23.66695,EMEF. MARIA RITA LOPES PONTES (IRMÃ DULCE),-46.792969,Da 308ª à 311ª; 350ª; 374ª; 388ª; 397ª;,VALO VELHO,20
2061,COHAB ADVENTISTA,"TRAVESSA DA PASSAREIRA, 200, São Paulo",-23.67145,EMEF. JOSÉ OLYMPIO PEREIRA FILHO,-46.782837,Da 331ª à 333ª; 342ª; 353ª; 366ª; 377ª; 393ª;,VALO VELHO,20
9795,VILA ISA,"AV. NOSSA SENHORA DO SABARÁ, 1300, São Paulo",-23.66684,COLÉGIO MAGISTER,-46.690208,Da 125ª à 138ª; 149ª; Da 159ª à 166ª; 261ª; 317ª;,SANTO AMARO,246
3387,SANTO AMARO,"AV. PADRE JOSÉ MARIA, 210, São Paulo",-23.653814,EE. PAULO EIRÓ,-46.709923,Da 87ª à 95ª; 270ª;,SANTO AMARO,246
3519,JARDIM ANHANGUERA,"AVENIDA ENGENHEIRO ALBERTO DE ZAGOTTIS, 1301, São Paulo",-23.66379,COLÉGIO MAGISTER JÚNIOR,-46.692909,263ª; 273ª; Da 275ª à 276ª; 280ª; 284ª; 287ª; 289ª; 324ª;,SANTO AMARO,246
4742,VILA ELVIRA,"AVENIDA JOÃO DIAS, 242, São Paulo",-23.644819,COLÉGIO FRIBURGO,-46.703369,Da 30ª à 38ª; Da 83ª à 86ª;,SANTO AMARO,246
3748,JARDIM GUAIANAZES,"AVENIDA MÁRIO LOPES LEÃO, 1050, São Paulo",-23.65134,EE. MARIA PETRONILA,-46.715248,Da 96ª à 103ª; 269ª; 274ª;,SANTO AMARO,246
6818,SANTO AMARO,"AVENIDA MÁRIO LOPES LEÃO, 120, São Paulo",-23.650402,EE. PROF. ALBERTO CONTE,-46.707344,Da 1ª à 19ª; 271ª;,SANTO AMARO,246
9367,JARDIM TAQUARAL,"AVENIDA SARGENTO GERALDO SANTANA, 901, São Paulo",-23.66321,COLÉGIO SANTA MARIA,-46.68219,Da 139ª à 148ª; Da 150ª à 158ª; 314ª; 322ª; 325ª; Da 329ª à 330ª;,SANTO AMARO,246
3467,CHACARA SANTO ANTONIO (ZONA SUL),"RUA AMÉRICO BRASILIENSE, 1297, São Paulo",-23.632891,ESCOLA ESTADUAL PADRE SABÓIA DE MEDEIROS,-46.69968,Da 39ª à 44ª; 104ª; 294ª; 302ª;,SANTO AMARO,246
6845,VILA CRUZEIRO,"RUA BRAGANÇA PAULISTA, 575, São Paulo",-23.641758,EE. PLÍNIO NEGRÃO,-46.715332,Da 232ª à 249ª.,SANTO AMARO,246
9691,CHACARA SANTO ANTONIO (ZONA SUL),"RUA CANCIONEIRO POPULAR, 210, São Paulo",-23.630301,UNIP - UNIVERSIDADE PAULISTA,-46.694698,Da 187ª à 196ª; Da 206ª à 219ª; 321ª;,SANTO AMARO,246
8524,JARDIM BELA VISTA (ZONA SUL),"RUA COMENDADOR ELIAS ZARZUR, 301, São Paulo",-23.649851,COLÉGIO DOZE DE OUTUBRO,-46.700871,Da 70ª à 82ª; Da 250ª à 259ª;,SANTO AMARO,246
11777,SANTO AMARO,"RUA ISABEL SCHMIDT, 349, São Paulo",-23.651911,UNISA - UNIVERSIDADE SANTO AMARO,-46.702381,Da 20ª à 29ª; Da 56ª à 69ª; Da 175ª à 186ª; 260ª;,SANTO AMARO,246
2335,JARDIM DOS ESTADOS,"RUA JOB LANE, 900, São Paulo",-23.638029,COLÉGIO WALDORF RUDOLF STEINER,-46.683998,264ª; 268ª; 296ª; 307ª; 313ª; 327ª; 331ª;,SANTO AMARO,246
2624,JARDIM HELIOMAR,"RUA LUIZ SERÁPHICO JUNIOR, 158, São Paulo",-23.63434,COLÉGIO ELVIRA BRANDÃO,-46.71307,265ª; 281ª; 286ª; 292ª; 303ª; 311ª; 326ª; 334ª;,SANTO AMARO,246
4004,SANTO AMARO,"RUA OMAR CARDOSO, 99, São Paulo",-23.65601,EMEF. CARLOS DE ANDRADE RIZZINI,-46.699959,291ª; 293ª; Da 298ª à 299ª; 301ª; 304ª; 308ª; 310ª; 315ª; 318ª; 320ª;,SANTO AMARO,246
6328,SANTO AMARO,"RUA PADRE JOSÉ DE ANCHIETA, S/N, São Paulo",-23.648331,EMEFM. LINNEU PRESTES,-46.70459,Da 45ª à 55ª; Da 109ª à 115ª; 283ª;,SANTO AMARO,246
4957,CAMPININHA,"RUA PROFESSOR DJALMA BENTO, 155, São Paulo",-23.666382,EE. IBRAHIM NOBRE,-46.680695,Da 167ª à 174ª; 262ª; 272ª; 279ª; 288ª; 316ª;,SANTO AMARO,246
1866,CHACARA SANTO ANTONIO (ZONA SUL),"RUA RODRIGUES PAIS, 512, São Paulo",-23.6297,EMEE ANNE SULLIVAN,-46.702141,267ª; 278ª; 285ª; 295ª; 305ª;,SANTO AMARO,246
4834,JARDIM BELA VISTA (ZONA SUL),"RUA SÃO JOSÉ, 115, São Paulo",-23.645332,COLÉGIO JESUS MARIA JOSÉ,-46.701748,Da 105ª à 108ª; Da 116ª à 124ª;,SANTO AMARO,246
4692,JARDIM DOS PRADOS,"RUA TONINHAS, 73, São Paulo",-23.674482,EE. PROF. ISALTINO DE MELLO,-46.687416,266ª; 277ª; 282ª; 290ª; 297ª; 300ª; 306ª; 309ª; 312ª; 319ª; 323ª; 328ª;,SANTO AMARO,246
8140,CHACARA SANTO ANTONIO (ZONA SUL),"RUA VERBO DIVINO, 993 A, São Paulo",-23.63364,ESCOLA PUERI DOMUS,-46.705101,Da 197ª à 205ª; Da 220ª à 231ª;,SANTO AMARO,246
6474,VILA SAO SILVESTRE,"AVENIDA ANTÔNIO BERNARDO SILVESTRE, 203, São Paulo",-23.498011,EE. CARLOS GOMES,-46.443981,Da 8ª à 11ª; Da 17ª à 26ª; 406ª; 463ª; 741ª; 746ª;,SÃO MIGUEL PAULISTA,247
3798,CIDADE NOVA SAO MIGUEL,"AVENIDA NORDESTINA, 1646, São Paulo",-23.518038,EE. DEP. MANOEL DE NÓBREGA,-46.421402,Da 336ª à 344ª; 404ª;,SÃO MIGUEL PAULISTA,247
5354,VILA AMERICANA,"RUA AMÉRICO GOMES DA COSTA, 59, São Paulo",-23.494129,EE. DOM PEDRO I,-46.440357,Da 32ª à 39ª; 418ª; 440ª; 447ª; 561ª; 734ª; 753ª; 763ª;,SÃO MIGUEL PAULISTA,247
3652,VILA AMERICANA,"RUA AMÉRICO GOMES DA COSTA, 93, São Paulo",-23.494436,EMEF. ARQUITETO LUÍS SAIA,-46.440498,Da 27ª à 31ª; 398ª; 582ª; 608ª; 729ª; 742ª; 766ª;,SÃO MIGUEL PAULISTA,247
7786,VILA CURUÇÁ,"RUA BENJAMIN CAPUSSO, 6, São Paulo",-23.50392,EE. ENGENHEIRO PEDRO VIRIATO PARIGOT DE SOUZA,-46.428364,Da 163ª à 176ª; 395ª; 421ª; 452ª; 502ª; 754ª; 770ª; 775ª;,SÃO MIGUEL PAULISTA,247
3372,SAO MIGUEL PAULISTA,"RUA DANIEL BERNARDO, 105, São Paulo",-23.494076,EMEFM. DARCY RIBEIRO,-46.442409,460ª; 588ª; 597ª; 639ª; 684ª; 711ª; 719ª; 723ª; 727ª; 733ª; 751ª;,SÃO MIGUEL PAULISTA,247
5365,VILA CAROLINA,"RUA DOMINGOS DO SACRAMENTO, 275, São Paulo",-23.505978,EE. PROF. ASTROGILDO ARRUDA,-46.446026,Da 381ª à 387ª; 403ª; 456ª; 531ª; 553ª; 715ª; 758ª; 765ª; 767ª;,SÃO MIGUEL PAULISTA,247
5311,VILA CLARA,"RUA GENDIROBA, 210, São Paulo",-23.495348,EMEF. MADRE MARIA IMILDA DO SANTÍSSIMO SACRAMENTO,-46.419731,Da 177ª à 189ª; 397ª;,SÃO MIGUEL PAULISTA,247
885,PARQUE SAO DOMINGOS,"RUA ITAREMA, 25, São Paulo",-23.509342,ESCOLA SANTA TEREZA,-46.729286,339ª; 376ª; 432ª;,LAPA,250
6561,CIDADE NOVA SAO MIGUEL,"RUA JOÃO NICÁRIO ELEUTÉRIO, 374, São Paulo",-23.50948,EMEF. DOM PAULO ROLIM LOUREIRO,-46.434341,Da 345ª à 360ª; 410ª;,SÃO MIGUEL PAULISTA,247
5691,JARDIM SAO VICENTE,"RUA JOSÉ FERREIRA CRESPO, 495, São Paulo",-23.500151,EMEF. ALMIRANTE PEDRO DE FRONTIM,-46.429909,Da 64ª à 76ª; 394ª; 423ª;,SÃO MIGUEL PAULISTA,247
4983,PARQUE SONIA,"RUA JULIÃO PEREIRA MACHADO,60 A, São Paulo",-23.499474,EE. ENGENHEIRO HUGO TAKAHASHI,-46.445015,Da 1ª à 7ª; 422ª; 580ª; 595ª; 648ª; 670ª; 710ª; 722ª; 747ª;,SÃO MIGUEL PAULISTA,247
5595,CIDADE NITRO OPERARIA,"RUA LUÍS ATÍLIO ROSSI, 75, São Paulo",-23.494678,EE. PROF. DÁRIO DE QUEIROZ,-46.433273,Da 40ª à 52ª; 453ª; 713ª; 768ª;,SÃO MIGUEL PAULISTA,247
5680,JARDIM LAGEADO,"RUA MARCION, 274, São Paulo",-23.514351,EE. PROF. ARLINDO PINTO DA SILVA,-46.437874,393ª; 461ª; 479ª; 521ª; 564ª; 609ª; 638ª; 680ª; 718ª; 724ª; 730ª; 740ª; 744ª; 764ª; 772ª; 777ª;,SÃO MIGUEL PAULISTA,247
6238,VILA ROSARIA,"RUA MARIA SUSANO POLILO, 485, São Paulo",-23.50252,EE. ATAULPHO ALVES,-46.434719,Da 53ª à 63ª; 402ª; 426ª; 451ª; 736ª; 752ª; 776ª;,SÃO MIGUEL PAULISTA,247
6013,VILA NOVA CURUÇÁ,"RUA NARCEJA, 100, São Paulo",-23.516729,EE. PROFª EUNICE MARQUES DE MOURA BASTOS,-46.425461,Da 329ª à 335ª; 417ª; 465ª; 522ª; 563ª; 717ª; 743ª; 757ª; 761ª; 774ª; 778ª;,SÃO MIGUEL PAULISTA,247
3317,VILA NOVA CURUÇÁ,"RUA NOITIBÓ, 80, São Paulo",-23.517201,EE. PROFª MARIA REGINA MACHADO DE CASTRO GUIMARÃES,-46.419418,577ª; 614ª; 641ª; 661ª; 682ª; 712ª; 720ª; 725ª; 731ª; 748ª;,SÃO MIGUEL PAULISTA,247
5278,VILA ROSARIA,"RUA PEDRO SOARES DE ANDRADE, S/N, São Paulo",-23.50083,EE. REVERENDO TÉRCIO MORAES PEREIRA,-46.435902,Da 361ª à 366ª; 436ª; 551ª; 585ª; 637ª; 652ª; 673ª; 716ª; 738ª;,SÃO MIGUEL PAULISTA,247
3212,JARDIM NAIR,"RUA RAFAEL ZIMBARDI, 38, São Paulo",-23.491604,EE. PROF. PEDRO MOREIRA MATOS,-46.45216,Da 117ª à 120ª; 414ª; 469ª; 480ª; 714ª; 773ª;,SÃO MIGUEL PAULISTA,247
3475,VILA CURUÇÁ,"RUA RAINHA MARGARIDA, 20, São Paulo",-23.510649,EE. JOSÉ BORGES ANDRADE,-46.419621,555ª; 603ª; 618ª; 649ª; 674ª; 709ª; 721ª; 728ª; 732ª; 739ª;,SÃO MIGUEL PAULISTA,247
4731,JARDIM GIANETTI,"RUA TAPERÁ, 12, São Paulo",-23.518858,EMEF. FERNANDO DE AZEVEDO,-46.419483,Da 306ª à 312ª; 432ª; 495ª; 546ª; 735ª; 756ª; 771ª;,SÃO MIGUEL PAULISTA,247
2209,VILA CARMOSINA,"AV. ITAQUERA, 8266, São Paulo",-23.53997,SENAC. SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL,-46.456539,723ª; 754ª; 769ª; 777ª; 787ª; 798ª;,ITAQUERA,248
4520,JARDIM REDIL,"ESTRADA ITAQUERA GUAIANAZES, 150, São Paulo",-23.531078,EMEF. PROF. JULIO CÉSAR DE MELO E SOUSA MALBA TAHAN,-46.442833,721ª; 734ª; 748ª; 763ª; 776ª; 786ª; 793ª; 805ª; 812ª; 819ª; 840ª; 844ª;,ITAQUERA,248
1539,VILA REGINA,"RUA ADELINO, 100, São Paulo",-23.52943,EMEI PADRE MANOEL DA NÓBREGA,-46.458931,814ª; 837ª; 846ª; 853ª;,ITAQUERA,248
976,JARDIM REDIL,"RUA ANTÔNIO MOURA ANDRADE, 395, São Paulo",-23.532528,EMEI ANTÔNIO GONÇALVES DIAS,-46.44268,859ª; 862ª; 866ª; 871ª; 876ª;,ITAQUERA,248
10845,VILA SANTANA,"RUA CAROLINA FONSECA, 584, São Paulo",-23.528379,UNICASTELO.,-46.455898,Da 48ª à 64ª; 523ª; Da 531ª à 532ª; 613ª; 616ª; 633ª; Da 654ª à 655ª; 661ª; 680ª; 697ª;,ITAQUERA,248
5190,VILA REGINA,"RUA CATARINA LOPES, 428, São Paulo",-23.530109,EMEF AYRES MARTINS TORRES,-46.459145,Da 125ª à 137ª; 879ª;,ITAQUERA,248
3793,VILA PROGRESSO,"RUA CECÍLIA ÍTER, 150, São Paulo",-23.522812,EE. JARDIM BEATRIZ,-46.441379,617ª; 629ª; 656ª; 676ª; 704ª; 730ª; 765ª; 799ª; 835ª; 863ª;,ITAQUERA,248
3280,VILA PROGRESSO,"RUA CECÍLIA ÍTER, 746, São Paulo",-23.522209,EMEF. DR. JOÃO AUGUSTO BREVES,-46.435959,653ª; 703ª; 760ª; 807ª; 818ª; 826ª; 841ª; 849ª; 857ª; 872ª; 881ª;,ITAQUERA,248
5100,CONJUNTO HABITACIONAL A E CARVALHO,"RUA CHUVA E SOL, 41, São Paulo",-23.525713,EE. REVERENDO IRINEU MONTEIRO DE PINHO,-46.460537,649ª; 660ª; 666ª; 686ª; 692ª; 705ª; 713ª; 728ª; 740ª; 756ª; 766ª; 778ª; 797ª;,ITAQUERA,248
4356,VILA PROGRESSO,"RUA CRIÚVA, 380, São Paulo",-23.519928,EE. PROF. JOSÉ RIGHETTO SOBRINHO,-46.432255,515ª; 536ª; 568ª; 592ª; 607ª; 638ª; 667ª; 718ª; 749ª; 779ª; 834ª;,ITAQUERA,248
5285,JARDIM REDIL,"RUA DR. ÁLVARO DE MENDONÇA, 914, São Paulo",-23.538958,EE. PROF. GERALDO DOMINGOS CORTEZ,-46.444271,Da 497ª à 499ª; 610ª; 643ª; 658ª; 675ª; 693ª; 710ª; 731ª; 757ª; 791ª; 813ª; 868ª;,ITAQUERA,248
6289,VILA CARMOSINA,"RUA FONTOURA XAVIER, 542, São Paulo",-23.549669,EE. PROFA. APPARECIDA RAHAL,-46.455925,Da 162ª à 175ª; 496ª; 824ª;,ITAQUERA,248
3557,VILA CARMOSINA,"RUA FONTOURA XAVIER, 851, São Paulo",-23.547171,EE. PROF. THALES CASTANHO DE ANDRADE,-46.45446,Da 494ª à 495ª; 557ª; 571ª; 577ª; 678ª; 716ª; 811ª; 839ª;,ITAQUERA,248
7036,VILA VERDE,"RUA GUAPÉBA, 50, São Paulo",-23.517059,EE. DEPUTADO CASSIO CIAMPOLINI,-46.45282,Da 138ª à 153ª; 560ª; 838ª;,ITAQUERA,248
530,PARADA XV DE NOVEMBRO,"RUA IBIAJARA, 757, São Paulo",-23.527719,EMEI PROFA. MARIA HELENA BARBOSA MARTINS,-46.435799,858ª; 864ª; 874ª;,ITAQUERA,248
5194,ITAQUERA,"RUA IGNÁCIO ALVES DE MATTOS, 281, São Paulo",-23.543688,EE. ÁLVARES DE AZEVEDO,-46.451912,Da 19ª à 30ª; 578ª; 822ª;,ITAQUERA,248
6453,PARADA XV DE NOVEMBRO,"RUA JERIBATUBA, 102, São Paulo",-23.528969,EE. COMENDADOR MARIO REYS,-46.436535,Da 387ª à 400ª; Da 521ª à 522ª; 544ª;,ITAQUERA,248
4694,PARADA XV DE NOVEMBRO,"RUA JERIBATUBA, 103, São Paulo",-23.528967,EE. ESCULTOR GALILEO EMENDABILI,-46.436539,Da 401ª à 411ª; 636ª; 673ª;,ITAQUERA,248
3899,VILA CAMPANELA,"RUA JOSÉ ALVES DOS SANTOS, 49 A, São Paulo",-23.535477,EE. PROFA. MARIA CECÍLIA DA SILVA GROHMANN,-46.460636,599ª; 620ª; 623ª; 626ª; 631ª; 663ª; 689ª; 707ª; 725ª; 831ª;,ITAQUERA,248
6289,PARADA XV DE NOVEMBRO,"RUA JUÇARAL, 170, São Paulo",-23.53124,EE. JÚLIO DINIZ,-46.433102,Da 412ª à 420ª; 570ª; 635ª; 681ª; 702ª; 732ª; 751ª; 829ª;,ITAQUERA,248
5229,VILA CARMOSINA,"RUA LAGOA TAI GRANDE, 475, São Paulo",-23.551262,EE. PROFA. MARIA DA CONCEIÇÃO OLIVEIRA COSTA,-46.457878,Da 500ª à 501ª; 540ª; 593ª; 608ª; 619ª; 646ª; 662ª; 691ª; 714ª; 741ª; 772ª; 833ª;,ITAQUERA,248
1530,PARQUE GUARANI,"RUA PINHEIRO DO PARANÁ, 177, São Paulo",-23.51693,EE. SAÍD MURAD,-46.462673,820ª; 845ª; 851ª; 860ª; 867ª; 877ª; 883ª;,ITAQUERA,248
7133,VILA CARMOSINA,"RUA PORTO XAVIER, 172, São Paulo",-23.54015,EE. PROFA. EMÍLIA DE PAIVA MEIRA,-46.45414,Da 1ª à 18ª.,ITAQUERA,248
5918,VILA VERDE,"RUA RAINHA DA NOITE, 85, São Paulo",-23.518583,EE. PROFA. HERMÍNIA DE ANDRADE PFUHL NEVES,-46.459282,618ª; 642ª; 665ª; 687ª; 696ª; 711ª; 733ª; 743ª; 755ª; 774ª; 781ª; 790ª; 803ª; 808ª; 817ª; 884ª;,ITAQUERA,248
3765,JARDIM MORGANTI,"RUA RIO URUU, 9, São Paulo",-23.546921,EE. PROF. ANÍSIO TEIXEIRA,-46.444801,539ª; 582ª; 612ª; 640ª; 683ª; 724ª; 782ª; 832ª; 836ª; 855ª; 885ª;,ITAQUERA,248
5704,VILA CARMOSINA,"RUA SÃO TEODORO, 453, São Paulo",-23.553511,EE. PROFA. MARIA FERRAZ DE CAMPOS,-46.456558,650ª; 664ª; 682ª; 699ª; 715ª; 727ª; 759ª; 768ª; 784ª; 794ª; 802ª; 810ª; 823ª; 828ª; 852ª; 861ª; 873ª;,ITAQUERA,248
6511,JARDIM NORMA,"RUA VIRGINIA DE MIRANDA, 133, São Paulo",-23.52668,EE. PROFA. HELENA LOMBARDI BRAGA,-46.452873,Da 112ª à 124ª; 533ª; 717ª; 747ª;,ITAQUERA,248
3885,JARDIM NORMA,"RUA VITOR JOSÉ DE CASTRO, 43, São Paulo",-23.523575,EE. PROF. EDSON LUÍS RIBEIRO LUZIA,-46.44725,Da 528ª à 529ª; 559ª; 575ª; 594ª; 597ª; Da 602ª à 603ª; 742ª; 830ª; 880ª;,ITAQUERA,248
4533,SANTANA,"AV. BRÁS LEME, 3029, São Paulo",-23.503727,ANHANGUERA EDUCACIONAL LTDA - (UNIBAN),-46.630512,Da 19ª à 25ª; 430ª; 487ª; 519ª; 568ª; 603ª; 631ª;,SANTANA,249
3467,SANTANA,"AV. CRUZEIRO DO SUL, 3301, São Paulo",-23.501539,EE. PADRE ANTONIO VIEIRA,-46.62495,Da 103ª à 113ª; 609ª;,SANTANA,249
3716,JARDIM CARMEM VERONICA,"AV. ENGENHEIRO CAETANO ÁLVARES, 4936, São Paulo",-23.48679,COLÉGIO PIONEIRO,-46.640499,Da 328ª à 337ª; 615ª;,SANTANA,249
3770,CHORA MENINO,"AV. IMIRÍM, 1424, São Paulo",-23.493055,COLÉGIO NOSSA SENHORA CONSOLATA,-46.647942,Da 187ª à 196ª; 611ª;,SANTANA,249
5243,JARDIM SÃO PAULO (ZONA NORTE),"AV. LEÔNCIO DE MAGALHÃES, 326, São Paulo",-23.498039,COLÉGIO JARDIM SÃO PAULO,-46.615669,Da 296ª à 298ª; 441ª; 463ª; 485ª; 502ª; 514ª; 545ª; 567ª; 588ª; 614ª; 629ª; 634ª;,SANTANA,249
6416,SANTA TERESINHA,"PRAÇA DOMINGOS CORREIA DA CRUZ , 14, São Paulo",-23.49168,INSTITUTO MADRE MAZZARELLO,-46.63345,Da 338ª à 345ª; Da 393ª à 394ª; 448ª; 492ª; 539ª; 563ª; 602ª; 626ª; 632ª;,SANTANA,249
4690,VILA AURORA (ZONA NORTE),"RUA ALBERTINA VIEIRA DA SILVA GORDO, 147, São Paulo",-23.476927,EE. PROF. CARLOS DE LAET,-46.62426,Da 163ª à 173ª; 363ª; 432ª;,SANTANA,249
4191,SANTANA,"RUA ALFREDO PUJÓL, 1555, São Paulo",-23.502194,EE. BARÃO HOMEM DE MELLO,-46.640488,Da 49ª à 59ª; 440ª;,SANTANA,249
3614,SANTANA,"RUA AMARAL GAMA, 185, São Paulo",-23.498819,COLÉGIO S.A.A.,-46.626869,Da 100ª à 102ª; 424ª; 471ª; 501ª; 544ª; 561ª; 608ª; 623ª;,SANTANA,249
3352,JARDIM AURORA (ZONA LESTE),"RUA RAIMUNDO GONÇALVES FERREIRA, 466, São Paulo",-23.541642,EE. NABIHA ABDALLA CHOHFI,-46.448479,789ª; 806ª; 809ª; 816ª; 825ª; 843ª; 848ª; 856ª; 865ª; 869ª; 875ª; 878ª; 882ª;,ITAQUERA,248
7172,JARDIM REDIL,"RUA MARCELINO DA SILVA, 50, São Paulo",-23.542586,EMEF  BRIGADEIRO HAROLDO VELOSO,-46.436806,Da 31ª à 47ª; 821ª;,ITAQUERA,248
4843,SANTA TERESINHA,"RUA COPACABANA, 243, São Paulo",-23.493891,EE. PROF. RÔMULO PERO,-46.637718,Da 67ª à 75ª; 438ª; 599ª; 605ª; 622ª;,SANTANA,249
4937,IMIRIM,"RUA DIOGO CABRERA, 424, São Paulo",-23.491428,EE. PROF. ORLANDO HORÁCIO VITA,-46.645241,Da 213ª à 224ª; 358ª; 366ª; 612ª;,SANTANA,249
2564,SANTANA,"RUA DOUTOR ZUQUÍM, 1932, São Paulo",-23.489031,COLÉGIO ALEXANDRE DE GUSMÃO,-46.624081,461ª; 480ª; 500ª; 534ª; 566ª; 600ª; 621ª; 633ª;,SANTANA,249
2609,SANTANA,"RUA DR. CÉSAR, 485, São Paulo",-23.502741,CEI PROFª ANITA CASTÁLDI ZAMPIROLLO,-46.631092,Da 38ª à 45ª.,SANTANA,249
2040,SANTANA,"RUA DR. CÉSAR, 581, São Paulo",-23.503004,EMEI JOSÉ BONIFÁCIO DE ANDRADE E SILVA,-46.631916,Da 46ª à 48ª; Da 367ª à 369ª; 604ª;,SANTANA,249
1845,SANTANA,"RUA EMBAIXADOR JOÃO NEVES DA FONTOURA, 150, São Paulo",-23.50194,COLÉGIO DELTA,-46.633678,464ª; 517ª; 570ª; 617ª; 628ª; 636ª;,SANTANA,249
2188,VILA AURORA (ZONA NORTE),"RUA INÁCIO MAMMANA, 363, São Paulo",-23.476526,CEI MADRE CRISTINA,-46.626602,454ª; 496ª; 538ª; 560ª; 595ª; 598ª; 635ª;,SANTANA,249
4468,VILA SANTA LUZIA,"RUA ISIDÓRO DE LAET, 165, São Paulo",-23.48193,EMEF PROF. ADOLPHO ÓTTO DE LAET,-46.62645,Da 139ª à 150ª; 610ª;,SANTANA,249
9466,SANTA TERESINHA,"RUA MANOEL DE MATOS, 75, São Paulo",-23.491438,COLÉGIO SALESIANO SANTA TERESINHA,-46.632519,Da 346ª à 355ª; 364ª; 399ª; 402ª; 447ª; 481ª; 498ª; 516ª; 543ª; 552ª; 555ª; 587ª; 601ª; 620ª; 630ª; 638ª;,SANTANA,249
3113,VILA BIANCA,"RUA MARIA CURUPAITI, 706, São Paulo",-23.501082,EE. PROF. DAILY RESENDE FRANÇA,-46.643444,Da 60ª à 66ª; 439ª; 618ª;,SANTANA,249
2447,CHORA MENINO,"RUA NOVA DOS PORTUGUESES, 365, São Paulo",-23.494831,COLÉGIO BRÁS LEME,-46.640732,460ª; 486ª; 508ª; 542ª; 573ª; 616ª; 624ª; 637ª;,SANTANA,249
5963,SANTANA,"RUA OLAVO EGÍDIO, 1008, São Paulo",-23.500442,EE. BUENOS AIRES,-46.615864,Da 26ª à 37ª; 429ª; 507ª; 565ª; 596ª; 619ª;,SANTANA,249
3416,JARDIM SÃO PAULO (ZONA NORTE),"RUA OUTEIRO DA CRUZ, 571, São Paulo",-23.48999,EE. REPÚBLICA DA BOLÍVIA,-46.622669,Da 76ª à 83ª; 395ª; 437ª;,SANTANA,249
4117,SANTANA,"RUA PAULO GONÇALVES, 55, São Paulo",-23.496323,EE. FRONTINO GUIMARÃES,-46.627869,Da 89ª à 99ª; 607ª;,SANTANA,249
