aptos_por_local,bairro,endereco,lat,local_de_votacao,long,secoes_eleitorais,zona_eleitoral_nome,zona_eleitoral_nro
5235,PARQUE DO CASTELO,"RUA ALCINDO FERREIRA, 2, São Paulo",-23.69955,EE. PADRE FRANCISCO JOÃO DE AZEVEDO,-46.704941,Da 56ª à 67ª; 615ª; 713ª; 746ª;,CAPELA DO SOCORRO,280
2115,JARDIM CENTENÁRIO,"AVENIDA FELIX ALVES PEREIRA, S/N, São Paulo",-23.500718,EMEBS. PROF. MÁRIO PEREIRA BICUDO,-46.66872,393ª; 397ª; 411ª; 418ª; 438ª; 440ª; 517ª;,CASA VERDE,255
2327,VILA DALVA,"RUA  BORIS ALEXANDRE, 189, São Paulo",-23.587902,EE. SAMUEL KLABIN,-46.784248,342ª; 368ª; 430ª; 448ª; 478ª; 498ª; 517ª; 567ª;,RIO PEQUENO,374
3043,VILA ISOLINA MAZZEI,"RUA NILO LUIS MAZZEI, 378, São Paulo",-23.510321,EE. DEPUTADO PEDRO COSTA,-46.588726,Da 192ª à 199ª; 329ª;,VILA MARIA,254
1180,VILA DA PAZ,"RUA JOÃO PAULO DA SILVA, 259, São Paulo",-23.701122,EMEI. DR. ALBERT SABIN,-46.686401,789ª; 815ª; 844ª; 871ª;,CAPELA DO SOCORRO,280
2268,JAÇANÃ,"RUA SÃO LUIZ GONZAGA, 62, São Paulo",-23.473009,EMEI. PROFA. OTTÍLIA DE JESUS PIRES,-46.583576,450ª; 462ª; 469ª; 482ª; 497ª; 521ª;,JAÇANÃ,349
7492,JAÇANÃ,"RUA ALCY BORGES DOS SANTOS, 242, São Paulo",-23.464506,EMEF. OCTÁVIO PEREIRA LOPES,-46.576881,15ª; Da 27ª à 38ª; 413ª; 421ª; 437ª; 464ª; 483ª; 501ª; 580ª;,JAÇANÃ,349
3329,JARDIM ROBRU,"RUA JOÃO MENDES DE CARVALHO, 40, São Paulo",-23.507015,EE. PROF. AMADOR DOS SANTOS FERNANDES,-46.410027,Da 87ª à 91ª; 274ª; 308ª; 324ª; 370ª;,JARDIM HELENA,397
1934,LIMOEIRO,"RUA DANIEL ARCIONI, 80, São Paulo",-23.50733,EE. REVERENDO JOSÉ BORGES DOS SANTOS JR.,-46.455688,Da 98ª à 100ª; 203ª; 224ª; 273ª; 292ª;,VILA JACUÍ,398
2925,VILA ARCADIA,"RUA ENÉIAS LUÍS CARLOS BARBANTI, 660, São Paulo",-23.491902,EMEF. PRESIDENTE NILO PEÇANHA,-46.701164,Da 198ª à 203ª; 494ª; 502ª;,NOSSA SENHORA DO Ó,327
47,ITAQUERA,"AV. MIGUEL IGNACIO CURI, 1311, São Paulo",-23.531097,UI-UNIDADE DE INTERNAÇÃO ITAQUERA - FUNDAÇÃO CASA,-46.439896,850ª.,ITAQUERA,248
